city_name,country,population_density,avg_income,internet_penetration,avg_rent,air_quality_index,public_transport_score,happiness_score,green_space_ratio,tsne_1,tsne_2
Old Vista,Europe,2775,3850,86.4,1310,43,52.0,8.5,23.8,11.241733,-3.3562706
Beachport,Europe,3861,3700,78.1,1330,42,62.8,8.1,33.1,9.78201,0.87946266
Valleyborough,Europe,2562,4310,80.1,1330,39,73.2,8.5,40.2,17.283047,-1.2637584
City,Europe,3192,3970,81.2,1480,60,49.2,8.5,43.6,7.3038006,-7.058923
Falls,Europe,3496,4320,100.0,1510,64,93.7,8.5,42.5,20.082563,1.0286565
North Falls,Europe,1444,4640,78.5,1620,35,51.6,8.4,20.3,10.784376,-2.5971365
Hillhaven,Europe,1233,3450,84.2,1080,55,47.5,8.5,50.0,6.136463,-7.55882
Gardenton,Europe,936,3610,72.4,1520,47,59.5,7.9,35.6,9.871101,-0.5660154
Springsville,Europe,2938,5220,100.0,1950,53,60.0,8.5,34.8,19.790152,-6.63195
North Ridge,Europe,3513,3330,88.7,1040,76,60.1,7.7,31.7,5.5177336,2.2190142
Ridgeshire,Europe,3842,3170,70.6,1060,65,56.9,7.1,41.6,1.281356,-2.7681475
Forestville,Europe,4298,3230,78.9,1380,59,63.1,8.5,31.3,8.950922,1.3620054
Garden,Europe,4819,3310,76.4,1340,68,55.1,7.6,35.7,5.1286693,0.28225666
Bridge,Europe,3577,2660,70.1,980,79,43.1,5.8,32.2,-5.514409,3.8268123
Port Bridge,Europe,2948,4040,69.8,1020,63,81.0,8.5,34.4,10.762687,3.2169218
Stone,Europe,2402,3500,64.7,1580,45,95.0,8.5,23.7,13.485804,3.767961
Riverburg,Europe,4135,2900,74.5,950,68,83.2,8.3,23.2,4.1233444,5.9486723
Gardenburg,Europe,2443,2710,72.6,950,62,52.6,7.3,41.0,1.9395757,-2.9223444
Pointborough,Europe,4630,2220,74.8,870,59,63.0,7.4,43.8,0.072125375,-4.3805656
Parkland,Europe,813,2160,85.1,890,47,47.2,7.3,39.5,3.9914036,-2.6680086
Cityport,Europe,1567,2770,79.0,1140,63,57.3,7.5,31.4,3.3017526,-0.63238764
Cityhaven,Europe,2266,3500,88.7,1270,64,52.3,8.4,44.2,6.7887726,-6.3439775
San Wood,Europe,2256,4150,100.0,1660,53,62.3,8.5,34.5,17.440218,-6.0411897
Harborshire,Europe,2714,1850,54.4,760,56,46.0,6.1,37.2,-9.970681,-2.0990925
East Valley,Europe,455,4490,100.0,1930,35,80.7,8.5,41.9,20.309622,-2.825594
Valleyburg,Europe,3312,2690,88.8,1000,68,41.6,7.6,38.7,3.6471417,-4.7867246
Point,Europe,3442,4300,87.5,1450,50,87.4,8.5,40.4,19.225801,0.48774913
Woodshire,Europe,4495,2350,75.0,740,77,77.1,7.1,38.0,1.311845,4.250787
New Wood,Europe,3755,3560,79.2,1380,49,52.6,8.5,53.8,6.935184,-8.527223
Port Beach,Europe,1733,4340,99.7,1590,44,60.3,8.5,23.7,12.811333,-3.5726838
Fallshaven,Europe,3914,3710,61.6,970,72,58.5,7.6,35.8,1.2529917,1.5735263
Vistaland,Europe,3109,3070,88.5,1300,46,50.6,8.5,36.6,7.564575,-4.5738616
San Vista,Europe,1513,4000,100.0,1410,48,50.6,8.5,35.4,16.088478,-7.0675163
Bayport,Europe,3434,2930,70.3,1250,65,40.8,7.3,33.3,1.560453,-0.31236377
Field,Europe,2074,3980,87.7,1400,58,68.7,8.5,49.2,15.898102,-2.004755
North Harbor,Europe,5666,3820,94.1,1410,75,62.9,8.0,31.3,7.1940613,2.6160598
Forestshire,Europe,4698,3010,81.8,1000,89,65.4,7.2,26.3,3.6190991,4.1627965
Springs,Europe,1885,2890,75.5,990,62,49.7,7.9,41.6,2.8224437,-3.3136902
Mount City,Europe,3696,3000,66.1,1130,82,49.3,7.3,32.0,0.7060981,0.898749
River,Europe,1930,3880,100.0,1420,68,53.7,8.5,37.3,16.288605,-7.821078
Port Springs,Europe,4643,3410,82.4,1120,63,53.4,8.0,41.1,5.3011556,-4.522
Hill,Europe,3605,2880,90.1,1290,55,55.9,8.5,38.1,7.1176977,-4.5873504
New Park,Europe,3079,3880,100.0,1230,53,57.0,8.5,40.8,15.434277,-7.6183167
Lake Town,Europe,2294,3910,84.8,1660,45,72.3,8.5,52.1,15.925764,-1.2754433
Wood,Europe,3984,3120,86.2,1100,60,63.9,8.5,44.1,6.114553,-4.9871216
Townland,Europe,3182,2200,83.6,680,59,66.4,7.2,36.9,-0.85376906,-4.0865765
Town,Europe,3259,4080,91.1,1720,72,77.4,8.5,41.4,18.493029,1.9040194
Woodland,Europe,1914,3610,65.8,1420,45,59.9,7.9,39.4,9.770566,-0.49561968
Pointland,Europe,3759,4330,96.5,1570,48,53.4,8.5,35.5,17.269547,-6.982452
San Harbor,Europe,3765,3680,97.0,1310,44,58.7,8.5,27.8,12.269796,-4.101667
Saint Falls,Europe,2731,2880,75.6,1170,50,50.8,6.8,26.2,2.8895335,-0.006908825
Fieldton,Europe,2400,4250,79.0,2000,55,61.1,7.7,30.0,12.883437,0.3089197
New Hill,Europe,1138,3440,84.0,1020,55,62.8,8.0,45.9,8.760995,-5.8308578
Port Stone,Europe,4397,2510,87.0,780,57,52.8,6.9,49.7,0.7969447,-5.560048
West Stone,Europe,3759,3620,83.6,1430,73,60.7,7.2,27.5,6.857884,1.8696238
Woodport,Europe,2343,3940,89.5,1320,49,62.8,8.5,36.9,15.777246,-4.4700665
Harborport,Europe,3319,2630,59.0,790,75,46.1,6.3,43.3,-6.10524,-2.2016385
South Forest,Europe,3318,2960,98.5,1260,72,46.7,7.4,38.5,4.197649,-5.328064
Mount Valley,Europe,4600,2270,82.1,690,65,52.8,7.5,42.4,0.18127784,-4.991394
Bridgedale,Europe,3003,4020,91.3,1410,46,69.2,8.5,41.2,16.81931,-3.3949637
Pointshire,Asia,3560,2990,89.1,1100,76,61.2,6.2,40.0,3.846681,1.7817699
Forestdale,Asia,14427,1840,58.7,520,108,87.0,3.7,9.6,-5.235448,18.425175
Woodburg,Asia,7332,1510,70.8,530,140,44.0,4.2,36.8,-10.059939,12.826922
North City,Asia,13460,2770,70.7,720,130,57.4,3.7,11.2,-5.9882503,17.357956
Riverford,Asia,9323,3170,65.7,1070,143,61.8,4.1,21.7,-7.256042,15.209903
Gardenborough,Asia,5488,2260,76.0,1010,81,44.4,5.4,36.4,-4.934192,3.5055077
San Point,Asia,4256,2690,71.4,1040,99,50.8,5.6,33.2,-4.498516,5.1651363
